No,Latitude,Longitude,Name,Date,Time
85,0.000215596,0.000538989,,2023/01/01,00:00:08.40
86,0.000224579,0.000538989,,2023/01/01,00:00:08.50
87,0.000233562,0.000538989,,2023/01/01,00:00:08.60
88,0.000242545,0.000538989,,2023/01/01,00:00:08.70
89,0.000251528,0.000538989,,2023/01/01,00:00:08.80
90,0.000260511,0.000538989,,2023/01/01,00:00:08.90
91,0.000269495,0.000538989,Point09,2023/01/01,00:00:09.00
92,0.000278478,0.000538989,,2023/01/01,00:00:09.10
93,0.000287461,0.000538989,,2023/01/01,00:00:09.20
94,0.000296444,0.000538989,,2023/01/01,00:00:09.30
95,0.000305427,0.000538989,,2023/01/01,00:00:09.40
96,0.00031441,0.000538989,,2023/01/01,00:00:09.50
97,0.000323393,0.000538989,,2023/01/01,00:00:09.60
98,0.000332377,0.000538989,,2023/01/01,00:00:09.70
99,0.00034136,0.000538989,,2023/01/01,00:00:09.80
100,0.000350343,0.000538989,,2023/01/01,00:00:09.90
101,0.000359326,0.000538989,Point10,2023/01/01,00:00:10.00
102,0.000368309,0.000538989,,2023/01/01,00:00:10.10
103,0.000377292,0.000538989,,2023/01/01,00:00:10.20
104,0.000386276,0.000538989,,2023/01/01,00:00:10.30
105,0.000395259,0.000538989,,2023/01/01,00:00:10.40
106,0.000404242,0.000538989,,2023/01/01,00:00:10.50
107,0.000413225,0.000538989,,2023/01/01,00:00:10.60
108,0.000422208,0.000538989,,2023/01/01,00:00:10.70
109,0.000431191,0.000538989,,2023/01/01,00:00:10.80
110,0.000440174,0.000538989,,2023/01/01,00:00:10.90
111,0.000449158,0.000538989,Point11,2023/01/01,00:00:11.00
112,0.000458141,0.000538989,,2023/01/01,00:00:11.10
113,0.000467124,0.000538989,,2023/01/01,00:00:11.20
114,0.000476107,0.000538989,,2023/01/01,00:00:11.30
115,0.00048509,0.000538989,,2023/01/01,00:00:11.40
116,0.000494073,0.000538989,,2023/01/01,00:00:11.50
117,0.000503057,0.000538989,,2023/01/01,00:00:11.60
118,0.00051204,0.000538989,,2023/01/01,00:00:11.70
119,0.000521023,0.000538989,,2023/01/01,00:00:11.80
120,0.000530006,0.000538989,,2023/01/01,00:00:11.90
121,0.000538989,0.000538989,Point12,2023/01/01,00:00:12.00
