No,Latitude,Longitude,Altitude,Speed,Date,Time
43,40.782488,-73.960222,57.0,5.47,2013/04/30,14:24:39
44,40.782534,-73.960186,57.0,5.57,2013/04/30,14:24:40
45,40.782577,-73.960153,57.0,5.76,2013/04/30,14:24:41
46,40.782625,-73.960114,57.0,5.74,2013/04/30,14:24:42
47,40.782671,-73.960076,57.0,5.97,2013/04/30,14:24:43
48,40.782720,-73.960040,57.0,6.15,2013/04/30,14:24:44
49,40.782770,-73.960006,57.0,6.60,2013/04/30,14:24:45
50,40.782822,-73.959969,57.0,6.46,2013/04/30,14:24:46
51,40.782875,-73.959928,57.0,6.32,2013/04/30,14:24:47
52,40.782925,-73.959889,57.0,6.33,2013/04/30,14:24:48
53,40.782974,-73.959852,57.0,6.22,2013/04/30,14:24:49
54,40.783029,-73.959816,57.0,6.84,2013/04/30,14:24:50
55,40.783075,-73.959783,57.0,6.37,2013/04/30,14:24:51
56,40.783132,-73.959741,57.0,6.57,2013/04/30,14:24:52
57,40.783188,-73.959702,57.0,6.80,2013/04/30,14:24:53
58,40.783235,-73.959662,57.0,6.33,2013/04/30,14:24:54
59,40.783288,-73.959622,57.0,6.69,2013/04/30,14:24:55
60,40.783337,-73.959581,57.0,6.64,2013/04/30,14:24:56
61,40.783388,-73.959537,57.0,6.70,2013/04/30,14:24:57
62,40.783444,-73.959493,57.0,6.63,2013/04/30,14:24:58
63,40.783498,-73.959452,57.0,6.57,2013/04/30,14:24:59
64,40.783549,-73.959412,57.0,6.54,2013/04/30,14:25:00
65,40.783598,-73.959374,57.0,6.56,2013/04/30,14:25:01
66,40.783653,-73.959333,57.0,6.47,2013/04/30,14:25:02
67,40.783699,-73.959295,57.0,6.15,2013/04/30,14:25:03
68,40.783746,-73.959257,57.0,6.15,2013/04/30,14:25:04
69,40.783800,-73.959216,57.0,6.14,2013/04/30,14:25:05
70,40.783845,-73.959180,57.0,6.16,2013/04/30,14:25:06
71,40.783896,-73.959141,57.0,5.98,2013/04/30,14:25:07
72,40.783942,-73.959105,57.0,5.84,2013/04/30,14:25:08
73,40.783987,-73.959071,57.0,5.88,2013/04/30,14:25:09
74,40.784037,-73.959036,57.0,5.95,2013/04/30,14:25:10
75,40.784083,-73.959005,57.0,5.94,2013/04/30,14:25:11
76,40.784133,-73.958969,57.0,5.89,2013/04/30,14:25:12
77,40.784179,-73.958933,57.0,5.92,2013/04/30,14:25:13
78,40.784224,-73.958897,57.0,5.81,2013/04/30,14:25:14
79,40.784266,-73.958863,57.0,5.94,2013/04/30,14:25:15
80,40.784316,-73.958826,57.0,5.99,2013/04/30,14:25:16
81,40.784366,-73.958790,57.0,6.06,2013/04/30,14:25:17
82,40.784416,-73.958754,57.0,6.28,2013/04/30,14:25:18
83,40.784466,-73.958717,57.0,6.33,2013/04/30,14:25:19
84,40.784516,-73.958678,57.0,6.40,2013/04/30,14:25:20
85,40.784560,-73.958643,57.0,6.41,2013/04/30,14:25:21
86,40.784616,-73.958600,57.0,6.39,2013/04/30,14:25:22
87,40.784668,-73.958563,57.0,6.46,2013/04/30,14:25:23
88,40.784721,-73.958528,57.0,6.62,2013/04/30,14:25:24
89,40.784778,-73.958492,57.0,6.69,2013/04/30,14:25:25
90,40.784828,-73.958460,57.0,6.63,2013/04/30,14:25:26
91,40.784881,-73.958423,57.0,6.64,2013/04/30,14:25:27
92,40.784938,-73.958381,57.0,6.71,2013/04/30,14:25:28
93,40.784991,-73.958342,57.0,6.64,2013/04/30,14:25:29
94,40.785045,-73.958304,57.0,6.72,2013/04/30,14:25:30
95,40.785096,-73.958269,57.0,6.87,2013/04/30,14:25:31
96,40.785155,-73.958228,57.0,6.82,2013/04/30,14:25:32
97,40.785206,-73.958190,57.0,6.89,2013/04/30,14:25:33
98,40.785264,-73.958145,57.0,6.88,2013/04/30,14:25:34
99,40.785316,-73.958103,57.0,6.77,2013/04/30,14:25:35
100,40.785368,-73.958065,57.0,6.93,2013/04/30,14:25:36
101,40.785427,-73.958022,57.0,6.90,2013/04/30,14:25:37
102,40.785483,-73.957980,57.0,6.93,2013/04/30,14:25:38
103,40.785537,-73.957942,57.0,7.27,2013/04/30,14:25:39
104,40.785598,-73.957898,57.0,7.11,2013/04/30,14:25:40
105,40.785650,-73.957859,57.0,6.95,2013/04/30,14:25:41
106,40.785709,-73.957818,57.0,6.92,2013/04/30,14:25:42
107,40.785762,-73.957777,57.0,6.63,2013/04/30,14:25:43
108,40.785816,-73.957735,57.0,6.79,2013/04/30,14:25:44
109,40.785868,-73.957695,57.0,6.90,2013/04/30,14:25:45
110,40.785923,-73.957652,57.0,6.97,2013/04/30,14:25:46
111,40.785981,-73.957607,57.0,6.94,2013/04/30,14:25:47
112,40.786035,-73.957563,57.0,6.90,2013/04/30,14:25:48
113,40.786087,-73.957519,57.0,6.81,2013/04/30,14:25:49
114,40.786140,-73.957476,57.0,6.85,2013/04/30,14:25:50
115,40.786185,-73.957440,57.0,6.73,2013/04/30,14:25:51
116,40.786244,-73.957393,57.0,6.85,2013/04/30,14:25:52
117,40.786298,-73.957352,57.0,6.88,2013/04/30,14:25:53
118,40.786353,-73.957315,57.0,6.75,2013/04/30,14:25:54
119,40.786410,-73.957282,57.0,6.90,2013/04/30,14:25:55
120,40.786467,-73.957251,57.0,6.86,2013/04/30,14:25:56
121,40.786524,-73.957222,57.0,6.88,2013/04/30,14:25:57
122,40.786587,-73.957191,57.0,6.97,2013/04/30,14:25:58
123,40.786646,-73.957160,57.0,6.83,2013/04/30,14:25:59
124,40.786704,-73.957130,57.0,6.79,2013/04/30,14:26:00
125,40.786757,-73.957103,57.0,6.74,2013/04/30,14:26:01
126,40.786819,-73.957078,57.0,6.72,2013/04/30,14:26:02
127,40.786875,-73.957063,57.0,6.68,2013/04/30,14:26:03
128,40.786939,-73.957051,57.0,6.82,2013/04/30,14:26:04
129,40.787004,-73.957041,57.0,7.16,2013/04/30,14:26:05
130,40.787064,-73.957036,57.0,7.10,2013/04/30,14:26:06
131,40.787134,-73.957031,57.0,7.30,2013/04/30,14:26:07
132,40.787201,-73.957030,57.0,7.46,2013/04/30,14:26:08
133,40.787265,-73.957032,56.6,7.43,2013/04/30,14:26:09
134,40.787337,-73.957035,56.4,7.35,2013/04/30,14:26:10
135,40.787402,-73.957038,56.0,7.58,2013/04/30,14:26:11
136,40.787476,-73.957039,55.4,7.73,2013/04/30,14:26:12
137,40.787550,-73.957042,55.2,8.24,2013/04/30,14:26:13
138,40.787623,-73.957044,54.6,7.86,2013/04/30,14:26:14
139,40.787692,-73.957044,54.6,7.99,2013/04/30,14:26:15
140,40.787763,-73.957036,54.6,7.94,2013/04/30,14:26:16
141,40.787839,-73.957022,54.6,7.87,2013/04/30,14:26:17
142,40.787909,-73.957005,54.6,8.02,2013/04/30,14:26:18
143,40.787977,-73.956981,54.6,7.65,2013/04/30,14:26:19
144,40.788044,-73.956955,54.6,7.85,2013/04/30,14:26:20
145,40.788105,-73.956933,54.6,7.86,2013/04/30,14:26:21
146,40.788181,-73.956907,54.6,7.82,2013/04/30,14:26:22
147,40.788251,-73.956888,54.4,7.74,2013/04/30,14:26:23
148,40.788322,-73.956878,54.0,7.61,2013/04/30,14:26:24
149,40.788393,-73.956874,53.4,7.84,2013/04/30,14:26:25
150,40.788459,-73.956875,53.2,7.59,2013/04/30,14:26:26
151,40.788528,-73.956884,52.4,7.75,2013/04/30,14:26:27
152,40.788600,-73.956899,52.4,7.66,2013/04/30,14:26:28
153,40.788665,-73.956917,52.4,7.50,2013/04/30,14:26:29
154,40.788731,-73.956940,52.4,7.34,2013/04/30,14:26:30
155,40.788791,-73.956968,52.4,7.36,2013/04/30,14:26:31
156,40.788854,-73.957010,52.4,7.34,2013/04/30,14:26:32
157,40.788909,-73.957053,52.4,7.33,2013/04/30,14:26:33
158,40.788968,-73.957106,52.4,7.30,2013/04/30,14:26:34
159,40.789022,-73.957159,52.4,7.35,2013/04/30,14:26:35
160,40.789072,-73.957210,52.4,7.27,2013/04/30,14:26:36
161,40.789126,-73.957267,52.4,7.18,2013/04/30,14:26:37
162,40.789179,-73.957317,52.4,7.12,2013/04/30,14:26:38
163,40.789231,-73.957358,52.4,7.00,2013/04/30,14:26:39
164,40.789293,-73.957390,52.4,7.00,2013/04/30,14:26:40
165,40.789351,-73.957407,52.4,6.92,2013/04/30,14:26:41
166,40.789417,-73.957413,52.4,6.86,2013/04/30,14:26:42
167,40.789480,-73.957410,52.4,6.82,2013/04/30,14:26:43
168,40.789542,-73.957403,52.4,6.76,2013/04/30,14:26:44
169,40.789598,-73.957393,52.4,6.34,2013/04/30,14:26:45
170,40.789656,-73.957383,52.4,6.38,2013/04/30,14:26:46
171,40.789717,-73.957367,52.0,6.66,2013/04/30,14:26:47
172,40.789777,-73.957345,51.4,6.92,2013/04/30,14:26:48
173,40.789838,-73.957319,51.0,7.06,2013/04/30,14:26:49
174,40.789902,-73.957293,50.4,7.34,2013/04/30,14:26:50
175,40.789961,-73.957265,50.4,7.50,2013/04/30,14:26:51
176,40.790032,-73.957235,50.4,7.95,2013/04/30,14:26:52
177,40.790103,-73.957202,50.4,8.29,2013/04/30,14:26:53
178,40.790175,-73.957163,50.4,8.61,2013/04/30,14:26:54
179,40.790246,-73.957116,50.4,8.70,2013/04/30,14:26:55
180,40.790311,-73.957068,49.6,8.80,2013/04/30,14:26:56
181,40.790383,-73.957014,49.4,8.93,2013/04/30,14:26:57
182,40.790456,-73.956957,49.0,8.97,2013/04/30,14:26:58
183,40.790523,-73.956902,48.4,8.76,2013/04/30,14:26:59
184,40.790594,-73.956848,48.2,8.86,2013/04/30,14:27:00
185,40.790659,-73.956799,48.0,8.70,2013/04/30,14:27:01
186,40.790725,-73.956743,47.4,8.70,2013/04/30,14:27:02
187,40.790784,-73.956688,47.2,8.20,2013/04/30,14:27:03
188,40.790846,-73.956624,46.4,8.03,2013/04/30,14:27:04
189,40.790904,-73.956565,46.2,7.93,2013/04/30,14:27:05
190,40.790958,-73.956512,46.0,7.83,2013/04/30,14:27:06
191,40.791019,-73.956452,46.0,7.67,2013/04/30,14:27:07
192,40.791074,-73.956397,46.0,7.40,2013/04/30,14:27:08
193,40.791121,-73.956346,46.0,7.01,2013/04/30,14:27:09
194,40.791171,-73.956289,46.0,6.56,2013/04/30,14:27:10
195,40.791212,-73.956240,46.0,6.09,2013/04/30,14:27:11
196,40.791255,-73.956188,46.0,5.85,2013/04/30,14:27:12
197,40.791295,-73.956139,46.0,5.83,2013/04/30,14:27:13
198,40.791333,-73.956091,46.0,5.85,2013/04/30,14:27:14
199,40.791369,-73.956043,46.0,5.94,2013/04/30,14:27:15
200,40.791408,-73.955993,46.0,6.02,2013/04/30,14:27:16
201,40.791450,-73.955938,46.0,6.23,2013/04/30,14:27:17
202,40.791492,-73.955885,46.0,6.33,2013/04/30,14:27:18
203,40.791534,-73.955832,46.0,6.49,2013/04/30,14:27:19
204,40.791576,-73.955777,46.0,6.53,2013/04/30,14:27:20
205,40.791612,-73.955728,46.0,6.58,2013/04/30,14:27:21
206,40.791659,-73.955663,46.0,6.60,2013/04/30,14:27:22
207,40.791701,-73.955607,46.0,6.59,2013/04/30,14:27:23
208,40.791745,-73.955553,46.0,6.62,2013/04/30,14:27:24
209,40.791789,-73.955499,46.0,6.65,2013/04/30,14:27:25
210,40.791830,-73.955447,46.0,6.67,2013/04/30,14:27:26
211,40.791875,-73.955393,46.0,6.62,2013/04/30,14:27:27
212,40.791922,-73.955337,46.0,6.65,2013/04/30,14:27:28
213,40.791967,-73.955285,46.0,6.60,2013/04/30,14:27:29
214,40.792012,-73.955234,46.0,6.58,2013/04/30,14:27:30
215,40.792056,-73.955188,46.0,6.56,2013/04/30,14:27:31
216,40.792108,-73.955141,46.0,6.64,2013/04/30,14:27:32
217,40.792157,-73.955103,46.0,6.55,2013/04/30,14:27:33
218,40.792213,-73.955067,46.0,6.53,2013/04/30,14:27:34
219,40.792267,-73.955037,46.0,6.43,2013/04/30,14:27:35
220,40.792319,-73.955016,46.0,6.51,2013/04/30,14:27:36
221,40.792381,-73.955000,46.0,6.61,2013/04/30,14:27:37
222,40.792440,-73.954992,46.0,6.53,2013/04/30,14:27:38
223,40.792496,-73.954988,46.0,6.39,2013/04/30,14:27:39
224,40.792559,-73.954990,46.0,6.55,2013/04/30,14:27:40
225,40.792616,-73.954997,46.0,6.61,2013/04/30,14:27:41
226,40.792679,-73.955007,46.0,6.67,2013/04/30,14:27:42
227,40.792740,-73.955020,46.0,6.68,2013/04/30,14:27:43
228,40.792800,-73.955031,46.0,6.70,2013/04/30,14:27:44
229,40.792858,-73.955041,46.0,6.70,2013/04/30,14:27:45
230,40.792918,-73.955047,46.0,6.51,2013/04/30,14:27:46
231,40.792980,-73.955052,46.0,6.43,2013/04/30,14:27:47
232,40.793038,-73.955055,46.0,6.39,2013/04/30,14:27:48
233,40.793097,-73.955055,46.0,6.27,2013/04/30,14:27:49
234,40.793153,-73.955050,46.0,6.23,2013/04/30,14:27:50
235,40.793203,-73.955043,46.0,6.02,2013/04/30,14:27:51
236,40.793261,-73.955034,46.0,6.06,2013/04/30,14:27:52
237,40.793319,-73.955024,46.0,6.10,2013/04/30,14:27:53
238,40.793373,-73.955015,46.0,6.04,2013/04/30,14:27:54
239,40.793422,-73.955005,46.0,5.97,2013/04/30,14:27:55
240,40.793474,-73.954994,46.0,6.07,2013/04/30,14:27:56
241,40.793528,-73.954983,46.0,6.03,2013/04/30,14:27:57
242,40.793587,-73.954971,46.0,6.12,2013/04/30,14:27:58
243,40.793642,-73.954959,46.0,6.07,2013/04/30,14:27:59
244,40.793696,-73.954946,46.0,6.08,2013/04/30,14:28:00
245,40.793748,-73.954933,46.0,6.24,2013/04/30,14:28:01
246,40.793808,-73.954917,46.0,6.39,2013/04/30,14:28:02
247,40.793861,-73.954904,46.0,6.29,2013/04/30,14:28:03
248,40.793917,-73.954890,46.0,6.29,2013/04/30,14:28:04
249,40.793975,-73.954874,46.0,6.48,2013/04/30,14:28:05
250,40.794031,-73.954859,46.0,6.66,2013/04/30,14:28:06
251,40.794094,-73.954841,46.0,6.66,2013/04/30,14:28:07
252,40.794151,-73.954825,46.0,6.65,2013/04/30,14:28:08
253,40.794205,-73.954809,46.0,6.69,2013/04/30,14:28:09
254,40.794270,-73.954791,46.0,6.72,2013/04/30,14:28:10
255,40.794327,-73.954774,46.0,6.72,2013/04/30,14:28:11
256,40.794388,-73.954749,46.0,6.59,2013/04/30,14:28:12
257,40.794442,-73.954721,46.0,6.50,2013/04/30,14:28:13
258,40.794494,-73.954689,46.0,6.40,2013/04/30,14:28:14
259,40.794544,-73.954656,46.0,6.43,2013/04/30,14:28:15
260,40.794595,-73.954618,46.0,6.34,2013/04/30,14:28:16
261,40.794646,-73.954576,46.0,6.32,2013/04/30,14:28:17
262,40.794694,-73.954534,46.0,6.22,2013/04/30,14:28:18
263,40.794742,-73.954494,46.0,6.31,2013/04/30,14:28:19
264,40.794787,-73.954450,46.0,6.16,2013/04/30,14:28:20
265,40.794828,-73.954401,46.0,6.16,2013/04/30,14:28:21
266,40.794867,-73.954345,46.0,6.40,2013/04/30,14:28:22
267,40.794903,-73.954284,46.0,6.52,2013/04/30,14:28:23
268,40.794936,-73.954216,46.0,6.65,2013/04/30,14:28:24
269,40.794965,-73.954145,46.0,6.68,2013/04/30,14:28:25
270,40.794990,-73.954079,46.0,6.53,2013/04/30,14:28:26
271,40.795017,-73.954010,46.0,6.49,2013/04/30,14:28:27
272,40.795045,-73.953937,46.0,6.56,2013/04/30,14:28:28
273,40.795072,-73.953865,46.0,6.73,2013/04/30,14:28:29
274,40.795098,-73.953792,46.0,6.88,2013/04/30,14:28:30
275,40.795124,-73.953721,46.0,6.89,2013/04/30,14:28:31
276,40.795154,-73.953644,46.0,6.97,2013/04/30,14:28:32
277,40.795184,-73.953578,46.0,6.94,2013/04/30,14:28:33
278,40.795226,-73.953508,46.0,7.05,2013/04/30,14:28:34
279,40.795272,-73.953449,46.0,7.18,2013/04/30,14:28:35
280,40.795323,-73.953401,46.0,7.46,2013/04/30,14:28:36
281,40.795386,-73.953359,46.0,7.35,2013/04/30,14:28:37
282,40.795450,-73.953330,45.6,7.54,2013/04/30,14:28:38
283,40.795515,-73.953315,45.4,7.62,2013/04/30,14:28:39
284,40.795589,-73.953312,45.0,7.84,2013/04/30,14:28:40
285,40.795657,-73.953325,44.4,8.01,2013/04/30,14:28:41
286,40.795731,-73.953359,44.2,8.26,2013/04/30,14:28:42
287,40.795795,-73.953408,44.0,8.43,2013/04/30,14:28:43
288,40.795854,-73.953473,43.6,8.44,2013/04/30,14:28:44
289,40.795901,-73.953546,43.4,8.38,2013/04/30,14:28:45
290,40.795942,-73.953629,42.6,8.46,2013/04/30,14:28:46
291,40.795976,-73.953729,42.4,8.53,2013/04/30,14:28:47
292,40.795993,-73.953828,42.0,8.62,2013/04/30,14:28:48
293,40.795997,-73.953933,41.4,8.79,2013/04/30,14:28:49
294,40.795990,-73.954038,41.4,8.89,2013/04/30,14:28:50
295,40.795978,-73.954142,41.4,8.89,2013/04/30,14:28:51
296,40.795949,-73.954244,41.0,9.01,2013/04/30,14:28:52
297,40.795915,-73.954342,40.4,9.06,2013/04/30,14:28:53
298,40.795873,-73.954437,40.2,9.16,2013/04/30,14:28:54
299,40.795825,-73.954527,39.6,9.27,2013/04/30,14:28:55
300,40.795776,-73.954612,39.4,9.38,2013/04/30,14:28:56
301,40.795721,-73.954698,39.4,9.42,2013/04/30,14:28:57
302,40.795664,-73.954783,39.2,9.43,2013/04/30,14:28:58
303,40.795610,-73.954875,38.6,9.49,2013/04/30,14:28:59
304,40.795571,-73.954975,38.4,9.47,2013/04/30,14:29:00
305,40.795547,-73.955079,38.0,9.42,2013/04/30,14:29:01
306,40.795540,-73.955190,37.4,9.28,2013/04/30,14:29:02
307,40.795553,-73.955294,37.0,9.29,2013/04/30,14:29:03
308,40.795586,-73.955403,36.4,9.24,2013/04/30,14:29:04
309,40.795629,-73.955496,36.0,9.16,2013/04/30,14:29:05
310,40.795681,-73.955574,35.4,9.00,2013/04/30,14:29:06
311,40.795750,-73.955641,35.2,8.76,2013/04/30,14:29:07
312,40.795821,-73.955679,35.2,8.49,2013/04/30,14:29:08
313,40.795890,-73.955700,35.2,8.07,2013/04/30,14:29:09
314,40.795965,-73.955710,35.2,7.60,2013/04/30,14:29:10
315,40.796031,-73.955702,35.2,7.50,2013/04/30,14:29:11
316,40.796100,-73.955673,35.2,7.46,2013/04/30,14:29:12
317,40.796162,-73.955634,35.2,7.65,2013/04/30,14:29:13
318,40.796222,-73.955585,35.2,7.87,2013/04/30,14:29:14
319,40.796281,-73.955538,35.2,8.02,2013/04/30,14:29:15
320,40.796341,-73.955485,35.2,7.86,2013/04/30,14:29:16
321,40.796408,-73.955427,35.2,8.14,2013/04/30,14:29:17
322,40.796466,-73.955367,35.2,8.14,2013/04/30,14:29:18
323,40.796525,-73.955300,35.2,8.42,2013/04/30,14:29:19
324,40.796581,-73.955234,35.2,8.41,2013/04/30,14:29:20
325,40.796632,-73.955174,35.2,8.59,2013/04/30,14:29:21
326,40.796696,-73.955097,35.2,8.61,2013/04/30,14:29:22
327,40.796755,-73.955029,35.2,8.64,2013/04/30,14:29:23
328,40.796817,-73.954964,34.6,8.76,2013/04/30,14:29:24
329,40.796882,-73.954902,34.2,8.76,2013/04/30,14:29:25
330,40.796944,-73.954852,33.6,8.91,2013/04/30,14:29:26
331,40.797009,-73.954800,33.4,8.64,2013/04/30,14:29:27
332,40.797081,-73.954743,33.2,8.54,2013/04/30,14:29:28
333,40.797149,-73.954692,33.2,8.77,2013/04/30,14:29:29
334,40.797216,-73.954648,33.2,8.67,2013/04/30,14:29:30
335,40.797284,-73.954603,33.2,8.49,2013/04/30,14:29:31
336,40.797356,-73.954557,33.2,8.17,2013/04/30,14:29:32
337,40.797419,-73.954517,33.0,8.09,2013/04/30,14:29:33
338,40.797492,-73.954476,32.4,8.10,2013/04/30,14:29:34
339,40.797558,-73.954441,32.0,7.91,2013/04/30,14:29:35
340,40.797620,-73.954412,31.6,7.56,2013/04/30,14:29:36
341,40.797691,-73.954385,31.0,7.57,2013/04/30,14:29:37
342,40.797758,-73.954362,31.0,7.62,2013/04/30,14:29:38
343,40.797823,-73.954342,31.0,7.48,2013/04/30,14:29:39
344,40.797892,-73.954323,31.0,7.52,2013/04/30,14:29:40
345,40.797955,-73.954308,31.0,7.46,2013/04/30,14:29:41
346,40.798026,-73.954298,31.0,7.44,2013/04/30,14:29:42
347,40.798092,-73.954298,31.0,7.22,2013/04/30,14:29:43
348,40.798158,-73.954307,31.0,7.26,2013/04/30,14:29:44
349,40.798215,-73.954322,31.0,7.18,2013/04/30,14:29:45
350,40.798278,-73.954348,31.0,7.14,2013/04/30,14:29:46
351,40.798340,-73.954388,31.0,7.08,2013/04/30,14:29:47
352,40.798395,-73.954430,31.0,6.94,2013/04/30,14:29:48
353,40.798446,-73.954478,31.0,6.71,2013/04/30,14:29:49
354,40.798495,-73.954531,31.0,6.97,2013/04/30,14:29:50
355,40.798542,-73.954585,31.0,6.97,2013/04/30,14:29:51
356,40.798587,-73.954638,31.0,6.54,2013/04/30,14:29:52
357,40.798632,-73.954689,31.0,6.42,2013/04/30,14:29:53
358,40.798675,-73.954736,31.2,6.14,2013/04/30,14:29:54
359,40.798715,-73.954790,31.6,6.27,2013/04/30,14:29:55
360,40.798753,-73.954843,32.2,6.43,2013/04/30,14:29:56
361,40.798792,-73.954901,32.4,6.39,2013/04/30,14:29:57
362,40.798830,-73.954963,33.0,6.35,2013/04/30,14:29:58
363,40.798867,-73.955024,33.0,6.39,2013/04/30,14:29:59
364,40.798901,-73.955086,33.0,6.25,2013/04/30,14:30:00
365,40.798933,-73.955144,33.0,6.36,2013/04/30,14:30:01
366,40.798967,-73.955209,33.0,6.17,2013/04/30,14:30:02
367,40.798998,-73.955264,33.0,5.98,2013/04/30,14:30:03
368,40.799030,-73.955327,33.0,5.75,2013/04/30,14:30:04
369,40.799057,-73.955390,33.0,5.96,2013/04/30,14:30:05
370,40.799081,-73.955449,33.0,5.87,2013/04/30,14:30:06
371,40.799110,-73.955513,33.0,5.94,2013/04/30,14:30:07
372,40.799137,-73.955573,33.0,5.70,2013/04/30,14:30:08
373,40.799160,-73.955632,33.0,5.91,2013/04/30,14:30:09
374,40.799184,-73.955699,33.0,5.81,2013/04/30,14:30:10
375,40.799200,-73.955761,33.0,5.69,2013/04/30,14:30:11
376,40.799216,-73.955827,33.0,5.34,2013/04/30,14:30:12
377,40.799233,-73.955887,33.0,5.44,2013/04/30,14:30:13
378,40.799252,-73.955947,33.0,5.33,2013/04/30,14:30:14
379,40.799267,-73.955999,33.2,4.80,2013/04/30,14:30:15
380,40.799280,-73.956055,33.4,4.95,2013/04/30,14:30:16
381,40.799293,-73.956114,34.2,4.84,2013/04/30,14:30:17
382,40.799306,-73.956169,34.4,4.67,2013/04/30,14:30:18
383,40.799318,-73.956222,35.2,4.55,2013/04/30,14:30:19
384,40.799328,-73.956276,35.2,4.71,2013/04/30,14:30:20
385,40.799337,-73.956323,35.2,4.47,2013/04/30,14:30:21
386,40.799348,-73.956384,35.2,4.70,2013/04/30,14:30:22
387,40.799359,-73.956436,35.2,4.21,2013/04/30,14:30:23
388,40.799367,-73.956487,35.2,4.28,2013/04/30,14:30:24
389,40.799375,-73.956542,35.2,4.67,2013/04/30,14:30:25
390,40.799380,-73.956595,35.2,4.62,2013/04/30,14:30:26
391,40.799385,-73.956650,35.2,4.54,2013/04/30,14:30:27
392,40.799388,-73.956708,35.2,4.47,2013/04/30,14:30:28
393,40.799391,-73.956762,35.2,4.40,2013/04/30,14:30:29
394,40.799393,-73.956815,35.4,4.27,2013/04/30,14:30:30
395,40.799396,-73.956863,36.0,4.20,2013/04/30,14:30:31
396,40.799400,-73.956915,36.4,4.02,2013/04/30,14:30:32
397,40.799404,-73.956960,37.0,3.98,2013/04/30,14:30:33
398,40.799408,-73.957011,37.4,4.02,2013/04/30,14:30:34
399,40.799413,-73.957059,37.4,4.01,2013/04/30,14:30:35
400,40.799419,-73.957106,37.4,4.12,2013/04/30,14:30:36
401,40.799427,-73.957158,37.4,4.09,2013/04/30,14:30:37
402,40.799437,-73.957208,37.4,4.20,2013/04/30,14:30:38
403,40.799448,-73.957252,37.6,4.16,2013/04/30,14:30:39
404,40.799462,-73.957303,38.2,4.17,2013/04/30,14:30:40
405,40.799473,-73.957346,38.4,3.87,2013/04/30,14:30:41
406,40.799485,-73.957391,38.6,3.69,2013/04/30,14:30:42
407,40.799498,-73.957433,39.2,3.74,2013/04/30,14:30:43
408,40.799512,-73.957475,39.4,3.88,2013/04/30,14:30:44
409,40.799525,-73.957516,39.4,3.77,2013/04/30,14:30:45
410,40.799534,-73.957560,39.4,3.80,2013/04/30,14:30:46
