No,Latitude,Longitude,Altitude,Heartrate,Date,Time
33,34.181339,-118.769225,322.2,105,2008/08/21,13:12:22
34,34.181341,-118.769900,324.1,106,2008/08/21,13:12:29
35,34.181315,-118.770322,326.5,114,2008/08/21,13:12:34
36,34.181306,-118.770400,326.5,115,2008/08/21,13:12:35
37,34.181253,-118.770691,328.9,117,2008/08/21,13:12:39
38,34.181193,-118.770955,329.4,122,2008/08/21,13:12:43
39,34.181120,-118.771210,332.3,123,2008/08/21,13:12:47
40,34.181099,-118.771272,332.3,124,2008/08/21,13:12:48
41,34.181009,-118.771513,334.2,128,2008/08/21,13:12:52
42,34.180791,-118.772008,335.6,131,2008/08/21,13:13:00
43,34.180681,-118.772266,336.6,134,2008/08/21,13:13:04
44,34.180575,-118.772520,339.0,139,2008/08/21,13:13:08
45,34.180549,-118.772582,339.0,140,2008/08/21,13:13:09
46,34.180498,-118.772704,340.0,142,2008/08/21,13:13:11
47,34.180364,-118.773007,341.9,147,2008/08/21,13:13:16
48,34.180210,-118.773388,344.3,150,2008/08/21,13:13:23
49,34.180086,-118.773710,345.7,150,2008/08/21,13:13:29
50,34.179950,-118.774047,347.7,151,2008/08/21,13:13:35
51,34.179789,-118.774405,348.6,152,2008/08/21,13:13:40
52,34.179513,-118.775043,349.6,154,2008/08/21,13:13:48
53,34.179318,-118.775516,348.1,154,2008/08/21,13:13:53
54,34.179139,-118.776050,348.1,153,2008/08/21,13:13:58
55,34.179024,-118.776622,346.7,152,2008/08/21,13:14:03
56,34.178980,-118.777219,345.3,150,2008/08/21,13:14:08
57,34.178992,-118.777839,343.8,147,2008/08/21,13:14:13
58,34.179082,-118.778451,343.3,145,2008/08/21,13:14:18
59,34.179263,-118.779152,341.9,140,2008/08/21,13:14:24
60,34.179501,-118.779707,340.0,138,2008/08/21,13:14:29
61,34.179861,-118.780315,340.4,136,2008/08/21,13:14:35
62,34.180341,-118.780884,341.9,134,2008/08/21,13:14:42
63,34.180767,-118.781250,343.3,133,2008/08/21,13:14:48
64,34.180975,-118.781397,344.8,132,2008/08/21,13:14:51
65,34.181377,-118.781620,346.7,132,2008/08/21,13:14:57
66,34.181810,-118.781794,349.6,134,2008/08/21,13:15:03
67,34.182018,-118.781888,350.5,136,2008/08/21,13:15:06
68,34.182295,-118.782014,352.9,140,2008/08/21,13:15:10
69,34.182840,-118.782272,355.8,145,2008/08/21,13:15:18
70,34.183206,-118.782523,356.8,147,2008/08/21,13:15:24
71,34.183573,-118.782839,358.7,148,2008/08/21,13:15:31
72,34.183889,-118.783213,359.2,146,2008/08/21,13:15:38
73,34.184146,-118.783618,359.2,145,2008/08/21,13:15:44
74,34.184374,-118.784083,358.7,143,2008/08/21,13:15:50
75,34.184616,-118.784743,356.8,141,2008/08/21,13:15:57
76,34.184860,-118.785396,357.3,138,2008/08/21,13:16:04
77,34.185159,-118.786177,358.7,136,2008/08/21,13:16:13
78,34.185465,-118.786965,359.2,134,2008/08/21,13:16:22
79,34.185830,-118.787713,359.7,132,2008/08/21,13:16:31
80,34.186313,-118.788544,359.7,132,2008/08/21,13:16:41
81,34.186689,-118.789159,361.1,130,2008/08/21,13:16:49
82,34.186996,-118.789532,363.5,129,2008/08/21,13:16:55
83,34.187326,-118.789831,366.4,131,2008/08/21,13:17:01
84,34.187587,-118.790018,368.3,136,2008/08/21,13:17:06
85,34.187742,-118.790108,369.8,139,2008/08/21,13:17:09
86,34.187792,-118.790137,370.2,140,2008/08/21,13:17:10
87,34.188111,-118.790285,373.6,145,2008/08/21,13:17:16
88,34.188367,-118.790382,375.1,150,2008/08/21,13:17:21
89,34.188563,-118.790456,377.0,151,2008/08/21,13:17:25
90,34.188659,-118.790493,377.9,152,2008/08/21,13:17:27
91,34.188801,-118.790550,378.9,153,2008/08/21,13:17:30
92,34.189189,-118.790710,381.3,155,2008/08/21,13:17:38
93,34.189533,-118.790874,384.2,156,2008/08/21,13:17:45
94,34.189872,-118.791097,387.5,158,2008/08/21,13:17:52
95,34.190227,-118.791403,390.0,160,2008/08/21,13:18:00
96,34.190499,-118.791721,391.9,161,2008/08/21,13:18:07
97,34.190836,-118.792180,394.8,160,2008/08/21,13:18:16
98,34.191035,-118.792565,395.7,159,2008/08/21,13:18:22
99,34.191069,-118.792636,395.7,159,2008/08/21,13:18:23
100,34.191124,-118.792779,396.2,159,2008/08/21,13:18:25
101,34.191242,-118.793137,396.2,158,2008/08/21,13:18:30
102,34.191400,-118.793757,396.2,156,2008/08/21,13:18:38
103,34.191467,-118.794409,396.2,154,2008/08/21,13:18:46
104,34.191502,-118.795135,396.7,152,2008/08/21,13:18:54
105,34.191534,-118.795902,396.7,150,2008/08/21,13:19:02
106,34.191598,-118.796785,398.1,148,2008/08/21,13:19:11
107,34.191756,-118.797474,398.1,147,2008/08/21,13:19:18
108,34.192037,-118.798134,398.6,146,2008/08/21,13:19:25
109,34.192458,-118.799016,399.6,145,2008/08/21,13:19:34
110,34.192779,-118.799662,400.5,145,2008/08/21,13:19:41
111,34.192821,-118.799748,401.0,145,2008/08/21,13:19:42
112,34.193087,-118.800275,404.4,146,2008/08/21,13:19:48
113,34.193315,-118.800684,405.8,146,2008/08/21,13:19:53
114,34.193722,-118.801282,406.8,147,2008/08/21,13:20:01
115,34.194179,-118.801805,407.7,147,2008/08/21,13:20:09
116,34.194749,-118.802412,410.1,146,2008/08/21,13:20:19
117,34.195145,-118.802854,412.1,147,2008/08/21,13:20:26
118,34.195567,-118.803484,414.5,149,2008/08/21,13:20:35
119,34.195808,-118.804031,416.4,150,2008/08/21,13:20:42
120,34.195972,-118.804594,418.3,150,2008/08/21,13:20:49
121,34.196064,-118.805241,420.2,150,2008/08/21,13:20:57
122,34.196111,-118.805941,420.7,149,2008/08/21,13:21:05
123,34.196180,-118.806814,418.8,147,2008/08/21,13:21:14
124,34.196192,-118.806922,418.8,147,2008/08/21,13:21:15
125,34.196249,-118.807527,415.9,146,2008/08/21,13:21:20
126,34.196273,-118.807797,415.4,145,2008/08/21,13:21:22
127,34.196326,-118.808228,412.1,144,2008/08/21,13:21:25
128,34.196386,-118.808525,410.6,143,2008/08/21,13:21:27
129,34.196574,-118.809140,407.7,140,2008/08/21,13:21:31
130,34.196852,-118.809701,407.3,137,2008/08/21,13:21:35
131,34.197186,-118.810170,406.3,132,2008/08/21,13:21:39
132,34.197669,-118.810650,404.4,130,2008/08/21,13:21:44
133,34.198382,-118.811323,402.0,130,2008/08/21,13:21:51
134,34.198836,-118.811888,401.0,130,2008/08/21,13:21:56
135,34.199127,-118.812438,397.6,130,2008/08/21,13:22:00
136,34.199190,-118.812591,397.6,130,2008/08/21,13:22:01
137,34.199387,-118.813234,396.2,131,2008/08/21,13:22:05
138,34.199493,-118.813894,397.2,132,2008/08/21,13:22:09
139,34.199532,-118.814702,397.2,135,2008/08/21,13:22:14
140,34.199564,-118.815914,397.6,139,2008/08/21,13:22:22
141,34.199587,-118.816678,395.7,137,2008/08/21,13:22:27
142,34.199595,-118.817005,392.4,136,2008/08/21,13:22:29
143,34.199611,-118.817687,388.0,134,2008/08/21,13:22:33
144,34.199617,-118.817862,388.5,134,2008/08/21,13:22:34
145,34.199594,-118.818573,384.7,131,2008/08/21,13:22:38
146,34.199492,-118.819110,381.8,129,2008/08/21,13:22:41
147,34.199442,-118.819284,381.3,128,2008/08/21,13:22:42
148,34.199173,-118.819944,379.4,125,2008/08/21,13:22:46
149,34.198910,-118.820363,378.4,123,2008/08/21,13:22:49
150,34.198521,-118.820811,379.4,122,2008/08/21,13:22:53
151,34.197910,-118.821332,379.4,121,2008/08/21,13:22:59
152,34.197434,-118.821766,377.5,119,2008/08/21,13:23:04
153,34.197275,-118.821963,376.5,117,2008/08/21,13:23:06
154,34.197076,-118.822249,374.6,112,2008/08/21,13:23:09
155,34.197018,-118.822337,374.6,113,2008/08/21,13:23:10
156,34.196914,-118.822526,375.5,109,2008/08/21,13:23:13
157,34.196853,-118.822645,375.5,108,2008/08/21,13:23:17
158,34.196812,-118.822730,375.5,107,2008/08/21,13:23:23
159,34.196780,-118.822750,375.1,102,2008/08/21,13:23:35
160,34.196729,-118.822848,374.1,102,2008/08/21,13:23:39
161,34.196551,-118.822974,374.1,106,2008/08/21,13:23:44
162,34.196447,-118.822962,373.1,110,2008/08/21,13:23:46
163,34.195960,-118.822899,372.6,113,2008/08/21,13:23:53
164,34.195462,-118.822924,372.6,116,2008/08/21,13:23:59
165,34.194973,-118.823060,371.7,120,2008/08/21,13:24:05
166,34.194455,-118.823311,370.7,120,2008/08/21,13:24:11
167,34.194175,-118.823452,369.3,120,2008/08/21,13:24:14
168,34.193500,-118.823796,367.4,119,2008/08/21,13:24:21
169,34.192960,-118.823976,365.4,118,2008/08/21,13:24:26
170,34.192385,-118.824045,364.0,116,2008/08/21,13:24:31
171,34.191894,-118.824005,362.6,116,2008/08/21,13:24:35
172,34.191364,-118.823855,359.2,117,2008/08/21,13:24:39
173,34.191091,-118.823733,356.3,118,2008/08/21,13:24:41
174,34.190955,-118.823658,355.8,118,2008/08/21,13:24:42
175,34.190438,-118.823281,353.4,121,2008/08/21,13:24:46
176,34.190188,-118.823064,349.1,123,2008/08/21,13:24:48
177,34.190060,-118.822953,349.1,123,2008/08/21,13:24:49
178,34.189929,-118.822843,345.7,123,2008/08/21,13:24:50
179,34.189798,-118.822732,345.7,123,2008/08/21,13:24:51
180,34.189396,-118.822399,342.4,123,2008/08/21,13:24:54
181,34.188974,-118.822096,339.5,123,2008/08/21,13:24:57
182,34.188344,-118.821830,337.6,122,2008/08/21,13:25:01
183,34.187699,-118.821745,337.6,121,2008/08/21,13:25:05
184,34.187081,-118.821809,335.6,121,2008/08/21,13:25:09
185,34.186249,-118.821986,336.1,121,2008/08/21,13:25:15
186,34.185031,-118.822233,335.2,124,2008/08/21,13:25:24
187,34.184256,-118.822357,335.2,128,2008/08/21,13:25:30
188,34.183385,-118.822374,333.2,129,2008/08/21,13:25:37
189,34.183258,-118.822366,333.2,129,2008/08/21,13:25:38
190,34.182729,-118.822309,331.3,129,2008/08/21,13:25:42
191,34.182457,-118.822260,329.9,128,2008/08/21,13:25:44
192,34.181770,-118.822092,325.5,126,2008/08/21,13:25:49
193,34.181491,-118.822002,324.6,124,2008/08/21,13:25:51
194,34.180935,-118.821780,321.2,121,2008/08/21,13:25:55
195,34.180518,-118.821582,319.8,120,2008/08/21,13:25:58
196,34.179810,-118.821239,315.9,119,2008/08/21,13:26:03
197,34.179235,-118.820968,314.5,118,2008/08/21,13:26:07
198,34.178408,-118.820587,315.9,120,2008/08/21,13:26:13
199,34.178037,-118.820476,317.9,121,2008/08/21,13:26:16
200,34.177431,-118.820390,317.4,126,2008/08/21,13:26:21
201,34.176790,-118.820399,317.4,127,2008/08/21,13:26:26
202,34.176150,-118.820481,316.4,129,2008/08/21,13:26:31
203,34.175472,-118.820565,313.5,132,2008/08/21,13:26:36
204,34.174598,-118.820649,310.6,134,2008/08/21,13:26:42
205,34.173741,-118.820611,309.7,135,2008/08/21,13:26:48
206,34.173101,-118.820516,311.1,134,2008/08/21,13:26:53
207,34.172407,-118.820385,312.6,133,2008/08/21,13:26:59
208,34.171642,-118.820285,312.1,132,2008/08/21,13:27:06
209,34.171150,-118.820257,312.6,131,2008/08/21,13:27:11
210,34.170880,-118.820408,311.1,129,2008/08/21,13:27:15
211,34.170851,-118.820764,309.2,130,2008/08/21,13:27:18
212,34.170849,-118.821399,303.4,131,2008/08/21,13:27:22
213,34.170868,-118.821766,300.1,133,2008/08/21,13:27:24
214,34.170893,-118.821955,297.7,134,2008/08/21,13:27:25
215,34.171123,-118.822671,298.1,140,2008/08/21,13:27:29
216,34.171361,-118.823137,298.1,146,2008/08/21,13:27:32
217,34.171745,-118.823850,300.5,149,2008/08/21,13:27:37
218,34.171945,-118.824227,302.5,150,2008/08/21,13:27:40
219,34.172185,-118.824673,305.8,150,2008/08/21,13:27:44
220,34.172634,-118.825513,308.2,151,2008/08/21,13:27:52
221,34.172906,-118.826162,309.2,153,2008/08/21,13:27:58
222,34.173019,-118.826747,310.6,154,2008/08/21,13:28:03
223,34.173023,-118.827320,312.1,155,2008/08/21,13:28:08
224,34.172919,-118.827884,311.6,154,2008/08/21,13:28:13
225,34.172692,-118.828461,309.7,153,2008/08/21,13:28:18
226,34.172430,-118.828940,305.4,151,2008/08/21,13:28:22
227,34.172213,-118.829346,302.0,151,2008/08/21,13:28:25
228,34.171980,-118.829785,298.1,149,2008/08/21,13:28:28
229,34.171836,-118.830106,295.3,147,2008/08/21,13:28:30
230,34.171730,-118.830462,291.9,146,2008/08/21,13:28:32
231,34.171648,-118.831053,288.1,145,2008/08/21,13:28:35
232,34.171684,-118.831675,285.2,142,2008/08/21,13:28:38
233,34.171723,-118.831879,283.7,142,2008/08/21,13:28:39
234,34.171840,-118.832268,283.2,140,2008/08/21,13:28:41
235,34.172080,-118.832789,283.2,136,2008/08/21,13:28:44
236,34.172404,-118.833428,285.2,135,2008/08/21,13:28:48
237,34.173020,-118.834599,285.6,137,2008/08/21,13:28:56
238,34.173531,-118.835352,285.2,138,2008/08/21,13:29:02
239,34.174174,-118.836187,281.3,135,2008/08/21,13:29:09
240,34.174269,-118.836310,281.3,135,2008/08/21,13:29:10
241,34.175013,-118.837284,279.9,130,2008/08/21,13:29:18
242,34.175661,-118.838043,280.8,128,2008/08/21,13:29:25
243,34.176301,-118.838561,279.4,128,2008/08/21,13:29:31
244,34.177353,-118.839303,278.0,130,2008/08/21,13:29:40
245,34.178025,-118.839794,279.4,132,2008/08/21,13:29:46
246,34.178849,-118.840399,278.4,132,2008/08/21,13:29:54
247,34.179222,-118.840774,278.4,131,2008/08/21,13:29:58
248,34.179513,-118.841241,278.4,131,2008/08/21,13:30:02
249,34.179721,-118.841764,278.4,131,2008/08/21,13:30:06
250,34.179941,-118.842464,276.0,129,2008/08/21,13:30:11
251,34.179998,-118.842611,275.6,129,2008/08/21,13:30:12
252,34.180197,-118.843079,271.7,128,2008/08/21,13:30:15
253,34.180346,-118.843406,270.3,128,2008/08/21,13:30:17
254,34.180712,-118.844240,266.9,128,2008/08/21,13:30:22
255,34.180856,-118.844565,265.9,128,2008/08/21,13:30:24
256,34.181274,-118.845485,266.9,126,2008/08/21,13:30:30
257,34.181571,-118.845998,265.9,123,2008/08/21,13:30:34
258,34.181860,-118.846413,264.5,120,2008/08/21,13:30:38
259,34.182058,-118.846667,264.0,114,2008/08/21,13:30:41
260,34.182262,-118.846933,263.1,111,2008/08/21,13:30:45
261,34.182371,-118.847123,262.1,107,2008/08/21,13:30:49
262,34.182409,-118.847203,262.1,106,2008/08/21,13:30:54
263,34.182416,-118.847215,262.1,106,2008/08/21,13:30:56
264,34.182416,-118.847211,262.1,106,2008/08/21,13:30:59
265,34.182415,-118.847208,262.1,107,2008/08/21,13:31:00
266,34.182416,-118.847217,262.1,109,2008/08/21,13:31:08
267,34.182410,-118.847212,262.6,109,2008/08/21,13:31:23
268,34.182402,-118.847210,262.6,104,2008/08/21,13:31:32
269,34.182412,-118.847234,262.1,101,2008/08/21,13:31:45
270,34.182463,-118.847402,262.1,103,2008/08/21,13:31:50
271,34.182491,-118.847715,260.7,107,2008/08/21,13:31:54
272,34.182469,-118.848019,260.2,112,2008/08/21,13:31:57
273,34.182430,-118.848228,260.2,117,2008/08/21,13:31:59
274,34.182306,-118.848650,260.2,119,2008/08/21,13:32:03
275,34.182279,-118.849089,259.7,123,2008/08/21,13:32:07
276,34.182423,-118.849751,256.8,123,2008/08/21,13:32:13
277,34.182453,-118.849870,256.8,123,2008/08/21,13:32:14
278,34.182611,-118.850640,254.4,122,2008/08/21,13:32:20
279,34.182716,-118.851436,253.4,117,2008/08/21,13:32:26
280,34.182656,-118.851925,253.4,112,2008/08/21,13:32:30
281,34.182566,-118.852450,256.3,109,2008/08/21,13:32:35
282,34.182476,-118.852909,258.7,110,2008/08/21,13:32:40
283,34.182401,-118.853284,260.2,114,2008/08/21,13:32:44
284,34.182338,-118.853574,261.1,119,2008/08/21,13:32:47
285,34.182251,-118.854080,261.1,124,2008/08/21,13:32:52
286,34.182175,-118.854502,260.2,129,2008/08/21,13:32:56
287,34.182091,-118.854968,258.7,130,2008/08/21,13:33:00
288,34.181947,-118.855854,254.9,128,2008/08/21,13:33:07
289,34.181821,-118.856555,252.0,125,2008/08/21,13:33:12
290,34.181768,-118.856845,250.6,122,2008/08/21,13:33:14
291,34.181685,-118.857252,248.6,115,2008/08/21,13:33:17
292,34.181606,-118.857488,247.7,112,2008/08/21,13:33:19
293,34.181471,-118.857763,247.2,110,2008/08/21,13:33:22
294,34.181385,-118.857918,247.2,105,2008/08/21,13:33:24
295,34.181273,-118.858144,246.7,101,2008/08/21,13:33:28
296,34.181154,-118.858513,245.8,102,2008/08/21,13:33:33
297,34.181100,-118.858948,244.3,103,2008/08/21,13:33:38
298,34.181116,-118.859313,243.8,101,2008/08/21,13:33:43
299,34.181141,-118.859460,243.4,98,2008/08/21,13:33:47
300,34.181173,-118.859579,243.4,97,2008/08/21,13:33:53
301,34.181181,-118.859616,243.4,98,2008/08/21,13:34:00
302,34.181208,-118.859680,243.4,98,2008/08/21,13:34:12
303,34.181295,-118.859895,242.4,101,2008/08/21,13:34:17
304,34.181406,-118.860153,242.4,104,2008/08/21,13:34:21
305,34.181523,-118.860449,242.9,109,2008/08/21,13:34:26
306,34.181562,-118.860530,242.9,109,2008/08/21,13:34:29
307,34.181623,-118.860687,242.9,108,2008/08/21,13:34:34
308,34.181679,-118.860807,243.4,105,2008/08/21,13:34:39
309,34.181727,-118.861029,243.4,105,2008/08/21,13:34:45
310,34.181770,-118.861406,244.3,106,2008/08/21,13:34:51
311,34.181764,-118.861811,245.3,110,2008/08/21,13:34:57
312,34.181728,-118.862279,243.8,113,2008/08/21,13:35:03
313,34.181679,-118.862871,241.4,113,2008/08/21,13:35:09
314,34.181599,-118.863784,239.5,111,2008/08/21,13:35:17
315,34.181501,-118.864903,237.1,106,2008/08/21,13:35:26
316,34.181372,-118.865929,236.1,101,2008/08/21,13:35:34
317,34.181318,-118.866552,234.2,98,2008/08/21,13:35:39
318,34.181287,-118.866949,233.7,98,2008/08/21,13:35:42
319,34.181255,-118.867705,233.7,98,2008/08/21,13:35:48
320,34.181249,-118.867941,233.3,95,2008/08/21,13:35:51
321,34.181243,-118.868106,233.7,92,2008/08/21,13:35:55
322,34.181246,-118.868223,234.2,92,2008/08/21,13:36:01
323,34.181241,-118.868235,234.2,94,2008/08/21,13:36:09
324,34.181241,-118.868340,233.7,94,2008/08/21,13:36:13
325,34.181235,-118.868552,233.3,96,2008/08/21,13:36:17
326,34.181218,-118.868949,232.8,99,2008/08/21,13:36:22
327,34.181199,-118.869350,230.9,104,2008/08/21,13:36:26
328,34.181192,-118.869580,229.9,105,2008/08/21,13:36:28
329,34.181192,-118.869949,227.0,109,2008/08/21,13:36:31
330,34.181229,-118.870895,224.6,111,2008/08/21,13:36:38
331,34.181261,-118.871893,224.1,112,2008/08/21,13:36:45
332,34.181219,-118.872837,223.2,113,2008/08/21,13:36:52
333,34.181077,-118.873861,223.2,110,2008/08/21,13:37:00
334,34.181064,-118.874343,223.6,109,2008/08/21,13:37:04
335,34.181131,-118.874993,222.2,105,2008/08/21,13:37:10
336,34.181241,-118.875828,221.7,105,2008/08/21,13:37:17
337,34.181272,-118.876408,222.2,107,2008/08/21,13:37:22
338,34.181178,-118.876950,222.2,109,2008/08/21,13:37:27
339,34.180991,-118.877458,221.7,110,2008/08/21,13:37:32
340,34.180663,-118.878334,221.2,111,2008/08/21,13:37:41
341,34.180525,-118.878987,219.8,111,2008/08/21,13:37:47
342,34.180494,-118.879520,219.3,109,2008/08/21,13:37:52
343,34.180502,-118.879702,219.3,107,2008/08/21,13:37:55
344,34.180508,-118.879798,219.3,105,2008/08/21,13:37:57
345,34.180576,-118.880213,218.4,103,2008/08/21,13:38:03
346,34.180731,-118.880770,218.4,105,2008/08/21,13:38:10
347,34.180986,-118.881311,219.3,109,2008/08/21,13:38:17
348,34.181314,-118.881799,219.8,111,2008/08/21,13:38:24
349,34.181683,-118.882259,219.8,114,2008/08/21,13:38:31
350,34.182206,-118.882901,219.8,114,2008/08/21,13:38:40
351,34.182822,-118.883678,219.3,115,2008/08/21,13:38:50
352,34.183389,-118.884323,216.9,115,2008/08/21,13:38:58
353,34.184061,-118.884859,216.0,115,2008/08/21,13:39:06
354,34.184921,-118.885545,214.0,114,2008/08/21,13:39:16
355,34.185393,-118.885823,212.6,113,2008/08/21,13:39:21
356,34.186180,-118.886224,211.1,112,2008/08/21,13:39:29
357,34.186628,-118.886610,209.2,112,2008/08/21,13:39:34
358,34.187008,-118.887090,209.2,112,2008/08/21,13:39:39
359,34.187372,-118.887758,207.8,112,2008/08/21,13:39:45
360,34.187658,-118.888456,207.3,113,2008/08/21,13:39:51
361,34.187762,-118.889080,206.3,112,2008/08/21,13:39:56
362,34.187753,-118.889713,205.9,113,2008/08/21,13:40:01
363,34.187631,-118.890330,205.4,114,2008/08/21,13:40:06
364,34.187385,-118.890894,203.9,117,2008/08/21,13:40:11
365,34.187322,-118.891003,203.5,118,2008/08/21,13:40:12
366,34.186904,-118.891489,203.5,122,2008/08/21,13:40:17
367,34.186589,-118.891726,202.5,123,2008/08/21,13:40:21
368,34.186335,-118.891867,201.5,122,2008/08/21,13:40:25
369,34.186172,-118.891950,201.5,120,2008/08/21,13:40:29
370,34.186071,-118.892009,201.1,115,2008/08/21,13:40:34
371,34.186028,-118.892031,201.1,111,2008/08/21,13:40:40
372,34.186022,-118.892029,200.6,105,2008/08/21,13:40:48
373,34.186011,-118.892025,200.1,100,2008/08/21,13:41:02
374,34.186009,-118.892025,200.6,95,2008/08/21,13:41:12
375,34.185962,-118.892063,200.1,94,2008/08/21,13:41:16
376,34.185804,-118.892202,200.1,96,2008/08/21,13:41:21
377,34.185571,-118.892436,199.6,101,2008/08/21,13:41:26
378,34.185341,-118.892811,199.1,102,2008/08/21,13:41:31
379,34.185148,-118.893289,198.6,104,2008/08/21,13:41:36
380,34.185019,-118.893965,196.7,108,2008/08/21,13:41:42
381,34.185040,-118.894582,194.8,111,2008/08/21,13:41:47
382,34.185154,-118.895490,194.3,116,2008/08/21,13:41:54
383,34.185210,-118.896465,192.4,118,2008/08/21,13:42:01
384,34.185206,-118.896763,191.0,118,2008/08/21,13:42:03
385,34.185141,-118.897649,191.0,122,2008/08/21,13:42:09
386,34.185027,-118.898814,191.9,127,2008/08/21,13:42:17
387,34.184964,-118.899505,194.3,131,2008/08/21,13:42:22
388,34.184951,-118.899633,194.3,132,2008/08/21,13:42:23
389,34.184898,-118.900140,196.2,138,2008/08/21,13:42:27
390,34.184887,-118.900262,196.2,137,2008/08/21,13:42:28
391,34.184854,-118.900858,197.7,142,2008/08/21,13:42:33
392,34.184884,-118.901806,199.1,145,2008/08/21,13:42:41
393,34.184908,-118.902198,197.7,145,2008/08/21,13:42:44
394,34.184945,-118.903050,196.2,147,2008/08/21,13:42:50
395,34.184939,-118.903509,193.4,148,2008/08/21,13:42:53
396,34.184892,-118.904760,192.4,149,2008/08/21,13:43:01
397,34.184872,-118.905541,189.0,147,2008/08/21,13:43:06
398,34.184940,-118.906177,186.6,145,2008/08/21,13:43:10
399,34.185075,-118.906641,184.2,144,2008/08/21,13:43:13
400,34.185374,-118.907198,184.2,144,2008/08/21,13:43:17
401,34.185467,-118.907322,184.2,143,2008/08/21,13:43:18
402,34.185962,-118.907843,187.1,143,2008/08/21,13:43:23
403,34.186552,-118.908332,189.5,143,2008/08/21,13:43:29
404,34.187161,-118.908848,191.0,146,2008/08/21,13:43:36
405,34.187511,-118.909258,192.9,146,2008/08/21,13:43:41
406,34.187684,-118.909519,193.8,146,2008/08/21,13:43:44
407,34.187947,-118.910069,195.3,144,2008/08/21,13:43:50
408,34.188226,-118.910950,197.2,145,2008/08/21,13:43:59
409,34.188295,-118.911257,198.6,146,2008/08/21,13:44:02
410,34.188384,-118.911970,199.6,147,2008/08/21,13:44:09
411,34.188407,-118.912869,201.1,146,2008/08/21,13:44:18
412,34.188436,-118.913805,202.0,144,2008/08/21,13:44:27
413,34.188470,-118.914735,201.5,142,2008/08/21,13:44:36
414,34.188501,-118.915545,200.1,139,2008/08/21,13:44:43
415,34.188484,-118.916352,199.1,134,2008/08/21,13:44:50
416,34.188415,-118.916871,198.2,129,2008/08/21,13:44:55
417,34.188330,-118.917298,198.6,123,2008/08/21,13:45:00
418,34.188275,-118.917516,198.2,118,2008/08/21,13:45:03
419,34.188228,-118.917694,197.7,113,2008/08/21,13:45:07
420,34.188204,-118.917779,198.2,108,2008/08/21,13:45:12
421,34.188191,-118.917804,197.7,109,2008/08/21,13:45:18
422,34.188170,-118.917856,197.2,110,2008/08/21,13:45:22
423,34.188126,-118.918013,197.2,113,2008/08/21,13:45:26
424,34.188056,-118.918338,196.7,117,2008/08/21,13:45:31
425,34.187970,-118.918745,197.2,119,2008/08/21,13:45:36
426,34.187822,-118.919376,197.2,124,2008/08/21,13:45:43
427,34.187685,-118.919944,197.7,129,2008/08/21,13:45:49
428,34.187501,-118.920726,197.7,129,2008/08/21,13:45:57
429,34.187300,-118.921563,198.2,130,2008/08/21,13:46:05
430,34.187143,-118.922381,200.6,132,2008/08/21,13:46:13
431,34.187096,-118.922973,201.5,131,2008/08/21,13:46:19
432,34.187084,-118.923628,200.6,128,2008/08/21,13:46:26
433,34.187067,-118.924254,200.1,123,2008/08/21,13:46:33
434,34.187062,-118.924827,199.6,123,2008/08/21,13:46:39
435,34.187059,-118.924926,198.6,123,2008/08/21,13:46:40
