No,Latitude,Longitude,Speed,Course,Date,Time
40,22.743418,113.820258,18.1,185.0,2008/07/09,04:19:30
41,22.743091,113.820200,18.3,186.0,2008/07/09,04:19:32
42,22.742256,113.820140,18.3,185.0,2008/07/09,04:19:37
43,22.742093,113.820125,18.1,185.0,2008/07/09,04:19:38
44,22.741930,113.820110,18.1,185.0,2008/07/09,04:19:39
45,22.741765,113.820091,18.1,185.0,2008/07/09,04:19:40
46,22.741276,113.820040,17.8,185.0,2008/07/09,04:19:43
47,22.740955,113.820010,18.1,184.0,2008/07/09,04:19:45
48,22.740631,113.819983,17.8,182.0,2008/07/09,04:19:47
49,22.739995,113.819920,17.8,185.0,2008/07/09,04:19:51
50,22.739833,113.819901,17.8,185.0,2008/07/09,04:19:52
51,22.739670,113.819881,17.8,185.0,2008/07/09,04:19:53
52,22.739348,113.819846,17.8,186.0,2008/07/09,04:19:55
53,22.739186,113.819828,18.1,186.0,2008/07/09,04:19:56
54,22.738861,113.819793,18.1,185.0,2008/07/09,04:19:58
55,22.738700,113.819778,18.1,185.0,2008/07/09,04:19:59
56,22.738535,113.819761,18.3,185.0,2008/07/09,04:20:00
57,22.737866,113.819695,18.9,185.0,2008/07/09,04:20:04
58,22.737521,113.819660,19.2,185.0,2008/07/09,04:20:06
59,22.736995,113.819606,19.4,185.0,2008/07/09,04:20:09
60,22.736818,113.819588,19.7,185.0,2008/07/09,04:20:10
61,22.736640,113.819570,19.7,185.0,2008/07/09,04:20:11
62,22.736283,113.819531,19.7,185.0,2008/07/09,04:20:13
63,22.735926,113.819500,19.7,183.0,2008/07/09,04:20:15
64,22.735566,113.819471,20.0,183.0,2008/07/09,04:20:17
65,22.735385,113.819453,20.0,183.0,2008/07/09,04:20:18
66,22.735205,113.819435,19.7,184.0,2008/07/09,04:20:19
67,22.734845,113.819400,19.7,185.0,2008/07/09,04:20:21
68,22.734663,113.819390,19.7,184.0,2008/07/09,04:20:22
69,22.734483,113.819376,20.0,185.0,2008/07/09,04:20:23
70,22.734121,113.819345,19.7,185.0,2008/07/09,04:20:25
71,22.733583,113.819288,19.7,185.0,2008/07/09,04:20:28
72,22.733403,113.819265,19.7,186.0,2008/07/09,04:20:29
73,22.733230,113.819245,19.2,186.0,2008/07/09,04:20:30
74,22.732560,113.819135,18.3,189.0,2008/07/09,04:20:34
75,22.732241,113.819068,17.2,190.0,2008/07/09,04:20:36
76,22.731820,113.818973,14.2,192.0,2008/07/09,04:20:39
77,22.731700,113.818943,13.1,193.0,2008/07/09,04:20:40
78,22.731325,113.818828,4.4,195.0,2008/07/09,04:20:45
79,22.731286,113.818816,0.8,195.0,2008/07/09,04:20:47
80,22.731286,113.818813,0.0,195.0,2008/07/09,04:20:48
81,22.731291,113.818810,0.0,195.0,2008/07/09,04:20:49
82,22.731263,113.818818,5.3,198.0,2008/07/09,04:23:00
83,22.730956,113.818708,11.9,197.0,2008/07/09,04:23:04
84,22.730723,113.818628,13.6,198.0,2008/07/09,04:23:06
85,22.730595,113.818581,14.7,198.0,2008/07/09,04:23:07
86,22.730316,113.818475,15.8,199.0,2008/07/09,04:23:09
87,22.730173,113.818418,16.7,200.0,2008/07/09,04:23:10
88,22.730025,113.818356,17.2,201.0,2008/07/09,04:23:11
89,22.729721,113.818228,18.1,203.0,2008/07/09,04:23:13
90,22.729411,113.818081,18.6,204.0,2008/07/09,04:23:15
91,22.729253,113.818006,18.9,204.0,2008/07/09,04:23:16
92,22.729095,113.817926,19.2,204.0,2008/07/09,04:23:17
93,22.728935,113.817843,19.4,206.0,2008/07/09,04:23:18
94,22.728268,113.817453,21.1,209.0,2008/07/09,04:23:22
95,22.727931,113.817235,21.9,211.0,2008/07/09,04:23:24
96,22.727761,113.817118,21.9,212.0,2008/07/09,04:23:25
97,22.727593,113.816996,22.2,212.0,2008/07/09,04:23:26
98,22.727256,113.816748,22.5,214.0,2008/07/09,04:23:28
99,22.727090,113.816620,22.5,214.0,2008/07/09,04:23:29
